movie_id,movie_name,year,certificate,runtime,genre,rating,description,director
tt2652304,"Rocks, Paper, Scissors",2014,,,"Action, Thriller",8.6,Four people seeking a way out of the paths intersect one night,Gregory Nalbandian
tt14153138,Who's with Me?,2021,,72 min,"Drama, Thriller",8.6,"Marcus awakens to find his apartment under quarantine and completely isolated from the outside world. He tries to navigate the way through the indefinite wait - staving off hunger, boredom, and paranoia.",Austin Allan James
tt12736062,Viruddha,2020,,63 min,Thriller,8.6,"VIRUDDHA is a Psychological Thriller revolving around 2 close friends named Uday and Ravi , who fall in love for the same girl Nayana. Uday being an Introvert struggles to convey his love ...                See full summary »",Nikhil Shivaprakash
tt16183408,The Silver Vindicator,2021,,163 min,"Action, Drama, Horror",8.6,"After The Events That took place in Radiator Springs a few years ago , nobody Since has heard about Finn or where he might be. When an enemy reemerges and threatens Radiator Springs with a ...                See full summary »",Haris
tt0496418,True Men,2006,,81 min,Thriller,8.6,"Paul Taylor, a young, troubled executive, finds himself the victim of a home intruder; a mysterious man seeking solace from the streets. Unable to escape, the young man's panic turns to ...                See full summary »",Kerry Logan
tt5596336,Dual Mania,2020,R,77 min,Thriller,8.6,A psychological thriller dealing with the dual persona a young man possesses and attempts to conceal throughout his ongoing sessions with his therapist.,Joseph Strickland
tt23057870,Nee Maayeyolago Maaye Ninnolago,2022,,,Thriller,8.6,"Nee Maayeyolago Maaye Ninnolago"" is a Psychological-Thriller Kannada Film that unveils the ephemeral mind of the Protagonist to different situations in his life and leads to a Paradox.",Sunil Kumar Bavanthappa
tt6301256,Campus Diary,2016,,145 min,"Action, Drama, Thriller",8.6,"Nikhil, a student who joins a college for his post graduate course. Being a guy with a modern personality, Nikhil wants to bring about social changes. As part of an NSS camp, he goes to a village where some interesting events happens.",Jeevan Das
tt7974096,Slice O' Cake,2021,,,"Drama, Thriller",8.6,"A womanizing young man has to find his way in life after a failed hoop dream and harsh sibling rivalry, as the terror of a recurring nightmare haunts his reality.",Marcus Muhd
tt0310102,Sahasa Simha,1982,Not Rated,174 min,"Crime, Thriller",8.6,Add a Plot,Joe Simon
tt0780657,Yesterday's Tomorrow,2007,,,"Crime, Drama, Thriller",8.6,"Yesterday's Tomorrow is the story of three promising young and diverse adults, each with their own destiny who through extraordinary circumstances are left to die, as their lives collide and harmoniously come together.",Jay Todd
tt1776193,Footsteps,2010,R,85 min,Thriller,8.6,"Ever since Douglas' Mother mysteriously vanished when he was 8 years old, his life has been controlled by panic, fear and desire. Now, two decades later, Douglas returns home to his small ...                See full summary »",Gavin James
tt5933674,Thakiduthatham,2016,,91 min,Thriller,8.6,A gang get suspicious of each other over a money dealing and a lady and her lover comes in between.,Jayakrishnan Unnikrishnan
tt19896526,Cielo Rojo (Gigantes de Metal),2022,,,Thriller,8.6,"Bianca was kidnapped by a sect and suffers psychological consequences from her childhood. Due to insomnia, she suffers from schizophrenia and lives in a universe with a ghost, mutating into a cockroach and metal giants in a red sky.",Marcelo Leguiza
tt3195606,Discarded,2013,,111 min,"Drama, Thriller",8.6,"After finding a terminally ill man with a fortune and no heirs, a desperate young mother hatches a plan to hide her children in the crawl space of his lavish home while she lives upstairs ...                See full summary »",Jeffrey Elmont
tt1865517,Thaw,2011,,88 min,"Crime, Drama, Thriller",8.6,"Both Samuel and Tom are trying to quit their criminal backgrounds and make a fresh start. Their motives differ, but they have got one aim in common: A final masterstroke at the expense of ...                See full summary »",Philipp M. Hönig
tt5988988,Stylus,2010,,88 min,"Crime, Drama, Thriller",8.6,"Angelo is a male model who accidentally kills his girlfriend. In an attempt to get away with murder, he asks for the help of a dangerous pimp and his bodyguard, who demand from him something in return.",Filip Halo
tt10938270,Medulla,2019,,49 min,Thriller,8.6,"Charles Dujardin - psychiatrist - starts losing his precious sense of control when Lotte, a seductive and promiscuous client offers her confession. Since the death of her controlling ...                See full summary »",Rudi Brekelmans
tt1161647,Last Getaway,2007,Not Rated,91 min,"Comedy, Horror, Mystery",8.6,Last Getaway is a one of a kind Comedic-Horror film that is as quirky as it is creepy. When Will Hataway convinces his friends that a camping trip in the forest near his hometown will be a ...                See full summary »,Patrick C. Clinton
tt2147700,Saturnalia,2013,,90 min,"Drama, Thriller",8.6,"Inspired by a shocking true event, ""Saturnalia"" tells the story of Edey, a homeless woman who manages to sneak in and live undetected in the house of a recently retired man after the sudden death of his wife.",Gustavo Mercado
tt5236238,Kalki,2015,,,"Action, Thriller",8.6,Add a Plot,Tapas Sargharia
tt1103271,Loose End,2009,,45 min,Thriller,8.6,"""LOOSE END"" is a tale of lust, betrayal and murder. Jacks eyes open. The tall overbearing trees tower above him; as he attempts to move, a sharp pain shoots through his chest. He cries out ...                See full summary »",Damian Morter
tt0339813,Tras el horizonte,1984,,45 min,"Drama, Thriller",8.6,Add a Plot,Mitl Valdez
tt1907762,Starla,2012,,80 min,Thriller,8.6,A taut thriller that chronicles a young woman's struggle with the loss of her daughter to a botched surgery and her attempt to get even with the surgeon who killed her.,Rik Cordero
tt0360387,Asphyxiating Uma,2002,,,Thriller,8.6,"Anil Vasvani is a colorless chemist who is quite contented with the three things he loves most - books, music and cooking. His only violent tendency, expressed through fantasies, is a ...                See full summary »",Sujit Saraf
tt1780924,Night Music,2010,,45 min,"Drama, Mystery, Thriller",8.6,"Set in a beautiful mansion against the stillness of night, Jon is forced to confront his past when his old friend Leo and a girl named Tricia pay him an unwelcome visit.",Blair Hayes
tt1128082,Visual Purple,2007,R,90 min,"Drama, Thriller",8.6,"Take a journey into Jack's mind, where he retells his traumatic childhood and confesses his sins to his psychiatrist Grace Sommers. He is forced to relive his tortured past, near death ...                See full summary »",Rick Kingerski
tt5929348,Ryadom s nami,2016,,85 min,"Drama, Thriller",8.6,The story follows a college girl's first love... For a young man who leads her into a religious cult of kamikaze terrorists. The film strives to attract public attention to the problem of forced terrorism.,Aleksandr Novopashin
tt1351237,Sheeps Clothing,2008,,73 min,"Crime, Drama, Thriller",8.6,Mick Sikes is a detective with a dark addiction and even darker past on the trail of a twisted serial killer.,Doug Wilson
tt0166575,Dimension,1984,,,"Horror, Thriller",8.6,"A man gets a power to cross dimensions in a cave, after using it, he finds out in the worst way that the use of dimensions has consequences.",Leon Armand
tt3455108,Potomanto,2013,,129 min,"Action, Thriller",8.6,An angry ex-police officer's mission to catch cheating women turns fatal when he stumbles into a diabolical plot of 'illegal organ harvesting' and the young hustlers who are lured into making deadly sacrifices for a chance abroad.,"Shirley Frimpong-Manso, 
Dickson Dzakpasu"
tt2457370,Myth Seekers: In Search of Il Brutto,2012,,,"Adventure, Thriller",8.6,Add a Plot,Larry Rosen
tt3524356,The Day of the Broken,2014,,88 min,"Crime, Drama, Thriller",8.6,"A mother has lost her child to the most appalling crime - the police are compromised, the private investigator she hired in her desperate search for answers has disappeared. Her only hope ...                See full summary »",Simon J. Dutton
tt13267024,Cold Calm,2020,,103 min,"Horror, Thriller",8.6,A mentally ill survivor of a disfiguring assault invites her unwitting assailant over for an evening of horrific revenge.,Tyna Ezenma
tt1503778,Rejouer,2011,,,Thriller,8.6,"Upon release from jail, a man living the same day over and over again discovers he must prevent a stranger's murder to truly set himself free.",Liam Finn
tt1985124,Kaalaippani,2008,,125 min,Thriller,8.6,Add a Plot,Rajesh M. Selva
tt7154992,Strict Rules,2017,,,"Action, Drama, Thriller",8.6,Add a Plot,Alexander Eisenbraun
tt7093188,Darkside Stories,2017,,50 min,"Horror, Thriller",8.6,"5 boys go on a camping trip and tell scary stories around a campfire. Can the boys handle stories of werewolves, balloons, and a DVD store owner?",Matthew Mark Hunter
tt1105724,The Domain,2007,,105 min,Thriller,8.6,"An innocent young girl who thought she found the perfect man, finds herself tangled in his world wide web of drugs, lies, and video surveillance. When the law can't help her, she takes ...                See full synopsis »",Paul C. Hemmes
tt1513729,Callabona Red,2009,,93 min,"Drama, Mystery, Thriller",8.6,Follows the fractured dynamics of a group of petty thugs when their leader goes missing.,Martin Ponferrada
tt1634066,The Cedar's Tears,2010,,84 min,"Drama, Mystery, Thriller",8.6,A Washington journalist travels to Montreal to investigate on an amateur film footage left by a contract killer who claims to be responsible for the assassination of a powerful Middle Eastern businessman back in 2005.,Nils Oliveto
tt1144796,Dancing Alone,2007,Unrated,60 min,"Drama, Mystery, Romance",8.6,"DANCING ALONE focuses on a young man named Mark and his struggles to deal with the loss of his one true love. With the terrible accident that sent her away three years ago, behind him, one ...                See full summary »",LeRoy A. Warner Jr.
tt3503004,Polk Road: The Homecoming,2012,Not Rated,79 min,"Comedy, Mystery, Thriller",8.6,"After the events that occurred on Polk Road, Nathan and Reuben are instructed by an odd doctor to go back to the road to face their demons.",Derek Ewing
tt2425470,Ingili,2013,,85 min,Thriller,8.6,"This is an experimental suspense thriller that has only 2 characters, 1 location, 1 rainy night and a risky bet that is too easy not to turn down.",Ravee Farooq
tt4899552,Exit Thread,2016,,98 min,"Drama, Thriller",8.6,Tom Decker is a clergyman in his late twenties with a rural church outside of a small college town. Laura Carlisle is a mid-thirties history professor who has recently begun a romantic ...                See full summary »,Paul Andrew Kimball
tt6751668,Parasite,2019,R,132 min,"Drama, Thriller",8.5,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho
tt0407887,The Departed,2006,R,151 min,"Crime, Drama, Thriller",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese
tt0482571,The Prestige,2006,PG-13,130 min,"Drama, Mystery, Sci-Fi",8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan
tt0110413,Léon: The Professional,1994,R,110 min,"Action, Crime, Drama",8.5,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson
tt0114814,The Usual Suspects,1995,R,106 min,"Crime, Drama, Mystery",8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer
tt0054215,Psycho,1960,R,109 min,"Horror, Mystery, Thriller",8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock
tt0047396,Rear Window,1954,PG,112 min,"Mystery, Thriller",8.5,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",Alfred Hitchcock
tt9900782,Kaithi,2019,Not Rated,145 min,"Action, Adventure, Crime",8.5,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",Lokesh Kanagaraj
tt3326138,The Last Deal,2023,R,91 min,"Crime, Thriller",8.5,A black market marijuana dealer tries to make one final score before getting squeezed out of the business when cannabis becomes legal.,Jonathan Salemi
tt0058625,Woman in the Dunes,1964,Not Rated,147 min,"Drama, Thriller",8.5,An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.,Hiroshi Teshigahara
tt20784426,Maro Prapancham,2023,,109 min,"Drama, Sci-Fi, Thriller",8.5,"There are many mysteries in this whole universe that are beyond the comprehension and beyond the imagination of the human brain. One of them is Parallel universe concept"". The story is ...                See full summary »",Kilaru Naveen
tt0054407,Le Trou,1960,Not Rated,131 min,"Crime, Drama, Thriller",8.5,Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.,Jacques Becker
tt19407666,Double Down South,2022,,120 min,Thriller,8.5,"In a world of illegal, high-stakes gambling, Nick owns a run-down plantation house. He is enamored with the smart, tough and charming ace Diana's intent to win big and is determined to stake her.",Tom Schulman
tt26331750,Vash,2023,,117 min,"Mystery, Thriller",8.5,"Believe it or not but the World is part of two different energies. ""Good and Evil"". What happens when they collide? Who wins? And at what cost?",Krishnadev Yagnik
tt26542515,Suvarna Sundari,2023,,,"Horror, Thriller",8.5,"Revolves around a fabled Trinethri Idol, and how it affects several lives in the course of its journey from the 15th century to modern times.",Surendra Madaarapu
tt1326865,Spoiler Alert,2009,,86 min,Thriller,8.5,"Award winning indie film Spoiler Alert (Trail Dance Film Festival ""Director's Choice Award"") is a black comedy/thriller focusing on the power and temptations of the Internet. Brad, the ...                See full summary »",David Rakowiecki
tt4991384,Visaaranai,2015,Not Rated,117 min,"Crime, Drama, Thriller",8.5,Four labourers are tortured by the police to confess to a theft they have not committed.,Vetrimaaran
tt13848958,Vasantha Mullai,2023,,108 min,"Drama, Thriller",8.5,"Rudhran, works tirelessly for a successful career and money, embarks on a romantic journey to spend quality time with his girlfriend Nila. On the way, he stays at the Vasantha Mullai Motel which takes him on a roller coaster ride.",Ramanan Purushothama
tt1496729,Aaranya Kaandam,2010,Not Rated,126 min,"Action, Crime, Thriller",8.5,A mob boss must deal with a disgruntled mistress and a vanishing bag of cocaine.,Thiagarajan Kumararaja
tt0459516,Pudhu Pettai,2006,Not Rated,168 min,"Action, Crime, Drama",8.5,"After running away from his home, Kumar falls in with a gang and slowly rises through the ranks of the criminal underworld.",K. Selvaraghavan
tt23379618,Clue,2022,,111 min,"Drama, Mystery, Thriller",8.5,Haragopal an officer of Archeology Dept is hounded by persistent dreams of his previous birth that relate to a kingdom and the hidden treasure. Will he succeed in finding the treasure forms...                See full summary »,"Ramesh Rana, 
Balachandra, 
Ramu, 
Mendam Sreedhar"
tt22309314,Koshichaayante Paramb,2022,,116 min,"Crime, Drama, Thriller",8.5,An uninvited guest enters the lives of three ordinary friends like an angel of God. It is too late when they realize that the angel is Satan himself.,Saajir Sadaf
tt15340824,Theru,2023,,116 min,"Drama, Thriller",8.5,"Hari and his two friends who get embroiled in a murder case under unusual circumstances. They deal with the power-play, haplessness and trauma.",S.J. Sinu
tt2410290,Nobody's Perfect,2016,Not Rated,94 min,"Action, Drama, Romance",8.5,"A younger woman meets the man of her dreams with the perfect lifestyle and image. Once they get married, her perfect dream turns into a nightmare.",Derrick Simmons
tt6827584,Priyamudan,1998,,156 min,"Romance, Thriller",8.5,"Vasanth, a wealthy businessman, falls in love with Priya during his visit to Rajasthan. To woo Priya, he impersonates a man named Vasanth Kumar who had saved her life before.",Vincent Selva
tt9106768,Michael Jackson: Smooth Criminal (II),1988,TV-PG,48 min,"Action, Crime, Fantasy",8.5,Michael tried to protect three children as he is chased by Mr Big and his army across a city. Excerpt from Moonwalker 1988.,Colin Chilvers
tt6759838,Under the Palm Tree,2021,,,Thriller,8.5,"What happens when love goes wrong? All Ted wants is to find his true love, his soulmate but when he finds anything but, nothing is ever the same again.",Bryan Martin
tt0353935,Ramji Rao Speaking,1989,Not Rated,150 min,"Comedy, Thriller",8.5,Three unemployed men struggle to earn a living and decide to get involved in a kidnapping scheme to make quick money.,"Lal, 
Siddique"
tt0237682,Sadayam,1992,,147 min,"Drama, Thriller",8.5,"Sadayam follows the final days of a condemned prisoner, for murdering two little girls.",Sibi Malayil
tt10366330,Night Out,2019,,116 min,"Comedy, Thriller",8.5,Two friends take a late auto rickshaw ride which takes an unexpected turn leading to a series of surprises.,Rakesh Adiga
tt13098216,Nowheresville,2020,,108 min,Thriller,8.5,"The lives of a middle-aged woman and her best friend are turned upside down after they stumble onto a dead body and nearly one million dollars in cold, hard cash and are forced to make choices that will change them forever.",Kevin McVey
tt9580502,20 Minutes,2022,,93 min,Thriller,8.5,An incoming ballistic missile to Hawaii changes twelve people's lives when they discover they have 20 minutes to live.,Timothy A. Chey
tt14773536,Pakistani Chainsaw: A Love Story,2021,,100 min,"Comedy, Horror, Romance",8.5,"Haunted by the nightmares of abused children, a young American woman, Rony goes to Pakistan to investigate Child Labor. When she is captured by a child slaver in Death Valley, her handsome Pakistani guide, Ben Hur tries to save her.",Hassan Zee
tt2006141,1959,2016,,88 min,Thriller,8.5,"On the last day of high school in 1959, five students learn that they will not graduate unless they work together to finish a school project. On their way to a secluded farm, crazy ...                See full summary »",John Swider
tt1674718,Luciana,2010,,,"Mystery, Thriller",8.5,"Luciana is a lonely Woman who moves into an old building in Mexico City, which is inhabited only by hysterical Women.",Juan Pablo Cortés
tt21154868,Girki,2022,,,"Comedy, Romance, Thriller",8.5,"Nandini and Purushottama, who are in love with each other. When they are about to get married, tragedy strikes as Nandini is abducted by a gang.",P M Veeresh
tt16765812,Cumpleañero,2022,,96 min,"Drama, Thriller",8.5,Suffering is not an option.,"Arturo Montenegro, 
Diego Arrue"
tt21200776,Saatam Aatham,2022,,117 min,"Drama, Thriller",8.5,"Munna, a contract killer, falls in love and becomes a reformed man by quitting his profession. But soon his life takes a turn. Will romance win or will the game of Saatam Aatham take over?",Sheetal Shah
tt0192566,Samna,1975,,151 min,"Crime, Drama, Thriller",8.5,"Wealthy and influential Hindurao Dhonde Patil finds a homeless drunk, brings him home, looks after him, feeds him, finds a room for him, gets him employed, calls him Master, and even finds ...                See full summary »",Jabbar Patel
tt13592092,Best Laid Plans,2022,,,Thriller,8.5,"Directed by Kyler Wilson, 'Best Laid Plans' follows Remy a single mother, struggling to pay her bills. She gets the opportunity to make some extra cash when her boss calls her for a ...                See full summary »",Kyler Wilson
tt9378600,Noise,2019,,105 min,"Sci-Fi, Thriller",8.5,A man deafened by an accident begins to hear the thoughts of other people and uses the ability to investigate the disappearance of a missing girl.,Jeremy Laval
tt7344878,Luba,2018,,87 min,"Drama, Thriller",8.5,"A poor single mother, who is trying to turn her life around, is thrust into a fight for survival when her ex-husband relapses and spirals out of control.",Caley Wilson
tt14787884,Swapnasundari,2022,,,Thriller,8.5,Shanu is a model . He gets one call in his mobile and through phones they get more closer and began to love each other .One day he start to Munnar to meet karishma. During the journey he met lot of problems from Zakaria and team.,Philip.K.J.
tt11528750,South by Southwest,2021,,,Thriller,8.5,An aspiring actor comes to LA to search for his former girlfriend only to be terrorized by a trio of thugs searching for diamonds hidden in a calculus textbook they believe is in his apartment.,Steve Custodio
tt25401564,Birds at Night,2023,,70 min,Thriller,8.5,A mysterious new street drug gives users violent reactions.,Mike Ellwood
tt2369196,Broken Glass,2013,,96 min,"Drama, Mystery, Thriller",8.5,A dramatic thriller that revolves around a man who must sort through his mind's tricks in order to unlock the mystery of his past.,Daniel R. Chavez
tt0186597,Tagos ng dugo,1987,TV-MA,136 min,"Crime, Drama, Thriller",8.5,"A young Pina was traumatized when her family was murdered while she had her first menstruation. She has grown up into a serial killer, transforming herself to different personalities as she...                See full summary »",Maryo J. de los Reyes
tt8875804,Gangs of North East,2017,,114 min,Thriller,8.5,"The story of the film revolves around the life of a teenage girl Margaret and her single mother Rosy in the majestic land of Shillong, and how everything changes when fate has got something else for them, reconnecting their past.",Rupak Gogoi
tt11841860,Where Is She?,2020,,,Thriller,8.5,"A woman goes missing after a volatile argument with her alcoholic boyfriend. As two detectives set out to crack this case by eliminating suspects, unusual happenings present themselves along the way.",Lemarze Smith
tt15085276,A Curious Tale,2021,,50 min,"Horror, Mystery, Thriller",8.5,A musician takes time out to do some archeology and seeks out the hiding place along the Sussex coast of a lost fabled crown that supposedly helps protect Great Britain against invasion.,Leigh Tarrant
tt12814530,"Theoretically, a paranoid conspiratorial phone call",2020,,92 min,"Action, Adventure, Comedy",8.5,"When it is the time to shape reality, the spy world calls The Pro Bono Spy Hunter.",Jorge Luis Villacorta Santamato
tt5933040,The Composer,2019,,90 min,"Comedy, Crime, Drama",8.5,The Composer - a dark Parody about a kidnap that goes wrong.,Alon Newman
tt5605580,Je pan kahish e sachuj kahish,2016,,104 min,Thriller,8.5,"Leeza and Dhaval meet at a coffee shop to enjoy their day together at Dhaval's place,They are not aware that this day is going to be their biggest nightmare forever!What happens in the ...                See full summary »",Naiteek Ravval
tt12451380,Chhupam Chhaai,2016,,94 min,"Adventure, Drama, Family",8.5,"In a small town in the heart of India, six teenage friends who secretly run ""Friends Private Detective Agency,"" encounter their most challenging case; a murder mystery.",Pratik Mittal
tt1124335,One Minutes,2009,,75 min,"Comedy, Crime, Drama",8.5,An anthology of one minute films in every genre imaginable.,Philip Pugh
tt20324566,Kandhidi Nodana,2022,,124 min,Thriller,8.5,A Challenging Suspense Thriller which gives you a brainstorming twist which is indeed unpredictable and makes you not take off your eyes.,S.K. Nagendra Urs
tt15354966,Lovers,2020,,72 min,"Action, Comedy, Drama",8.5,"Justin Fisher tries to get the girl of his dream, Bailey. Meanwhile he also has to deal with the normal high school drama and more.",Connor Hearn
tt6772188,I May Regret,2018,,100 min,Thriller,8.5,An older woman suffering from dementia is convinced that her young live-in nurse is out to kill her and take her life's fortune. But people are not always who we think they are. And dementia has a way of unraveling the truth.,Graham Streeter
tt6213262,The Murderers,2017,,89 min,"Drama, Thriller",8.5,"After discovering the past has caught up with him, a retired hit-man returns to his former territory to face his demons and lay them to rest.",Will' Terran
tt13422364,Throw Everything Into Play,2020,,80 min,Thriller,8.5,A 12-year-old boy that dreams of being a baseball player must put his entire life on hold after he witnesses a vicious crime.,Alfredo Marron
tt10014616,Obstáculos Orgullo Y Recompensa,2019,,,"Crime, Thriller, Western",8.5,Add a Plot,John Lopez
